ppg,ecg,resp,sbp,dbp,spo2,hr_ecg,hr_ppg,hrv_sdnn_ecg,rr
1.486454380234810,-0.3147888755065480,-0.6346851574038290,124,87,96.80,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
1.366434365096650,-0.3041982841180550,-0.6439885226091290,124,87,96.79,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
1.0105969540127200,-0.2669046044917900,-0.6517854044437700,124,87,96.79,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
0.8001670737400820,-0.341709936898197,-0.6550118955030970,124,87,96.78,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
0.8235670642727980,-0.3670194105132470,-0.6605203060975660,124,87,96.79,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
0.8300311560071310,-0.4180147097767080,-0.6562853446623230,124,87,96.79,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
0.720131057784756,-0.506584666741424,-0.658191055494794,124,87,96.80,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
0.4909626161825060,-0.5372941954962460,-0.6564437055016090,124,87,96.80,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
0.23490522636412300,-0.5719627339740420,-0.6552152051943380,124,87,96.80,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
0.01692938945231220,-0.33979137080749600,-0.6583641202049280,124,87,96.81,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
-0.17197138667454400,-0.06386507848781840,-0.660777854138463,124,87,96.81,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
-0.34777475663221800,-0.5970167563380110,-0.6658640153196080,124,87,96.82,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
-0.5313606947967030,-0.7164874262412790,-0.6848201012668340,124,87,96.82,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
-0.6884456903296460,2.3206823996818800,-0.7027517527586070,124,87,96.82,86.96427621760570,86.78595850264280,37.77929225837940,8.454117435714330
-0.8523167894263940,-2.5243763120301200,-0.7150069886696350,124,87,96.82,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
-1.030952188987420,-0.21720897984460000,-0.7248598146585530,124,87,96.83,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
-1.1986975483294300,0.09192353377363450,-0.7426690139281660,124,87,96.83,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
-1.4109666281641200,0.44663341294648200,-0.7567864640974400,124,87,96.83,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
-1.671178464787950,0.8640427491256910,-0.7698792647366820,124,87,96.84,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
-1.732483241808930,1.4461839976286300,-0.77977888808984,124,87,96.84,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
-0.9052286655331180,1.9688862658306200,-0.7918562745627920,124,87,96.83,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
0.3506920035313180,1.520773313333470,-0.8045191389173080,124,87,96.80,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
1.0426590893186800,0.5066067550015220,-0.8130437966242830,124,87,96.80,85.01313342323360,86.78595850264280,46.84500753180670,8.454117435714330
1.3337871797934700,-0.04649617312765510,-0.831073266899512,124,87,96.80,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
1.3982743249521800,-0.198099266208648,-0.8412373292653520,124,87,96.81,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
1.359249249372410,-0.1417178140856330,-0.8525048503002400,124,87,96.82,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
1.0644818250084200,-0.07950146870350860,-0.8625239712157880,124,87,96.82,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
0.8241633125984230,-0.11304705984544900,-0.872133727550707,124,87,96.82,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
0.8066369281011360,-0.2374202639101910,-0.87882550760184,124,87,96.82,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
0.8626090049610490,-0.2519092380068100,-0.8791810588177470,124,87,96.82,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
0.8205301178502820,-0.3885256675343080,-0.88478866845223,124,87,96.82,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
0.6058245883474380,-0.36932723771425000,-0.8885743709751740,124,87,96.83,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
0.37175694190550100,-0.4643489311291980,-0.8886643859143330,124,87,96.83,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
0.13833283178436400,-0.38228120052758600,-0.8951303019895450,124,87,96.83,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
-0.0553367344511735,-0.0933563471083165,-0.9002864985340310,124,87,96.83,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
-0.2225861521710920,-0.5403582905352690,-0.9060774054597140,124,87,96.84,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
-0.4129654264917290,-0.6568983567330170,-0.9197765454879300,124,87,96.84,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
-0.5948505618605540,0.985016497513611,-0.932071722576398,124,87,96.84,85.01313342323360,84.86973246950950,46.84500753180670,8.454117435714330
-0.7682718923035330,-4.843746136137200,-0.9460617685250700,124,87,96.85,83.07899285837960,84.86973246950950,53.89402915836420,8.454117435714330
-0.9313862249581810,-0.3119808545278260,-0.9588586655356930,124,87,96.85,83.07899285837960,84.86973246950950,53.89402915836420,8.454117435714330
-1.0939663977609600,0.13540013813082200,-0.97372980051441,124,87,96.83,83.07899285837960,84.86973246950950,53.89402915836420,8.454117435714330
-1.2878071251460900,0.34192243849018600,-0.9860264132147760,124,87,96.81,83.07899285837960,84.86973246950950,53.89402915836420,8.454117435714330
-1.511285876853330,0.695627068180931,-1.0031514624745000,124,87,96.81,83.07899285837960,84.86973246950950,53.89402915836420,8.454117435714330
-1.7066341643396900,1.2530589286639600,-1.021683622306980,124,87,96.81,83.07899285837960,84.86973246950950,53.89402915836420,8.454117435714330
-1.4139133552171300,1.9052784744517400,-1.0399953943291200,124,87,96.81,83.07899285837960,84.86973246950950,53.89402915836420,8.454117435714330
